NAME,BEST WER (dev-other),BEST WER (dev-clean),BEST WER (test-other),BEST WER (test-clean),FULL CONFIG PATH
conf_base_conf__drop_l2__l2-0.0001_drop-0.3,"ep: 190, WER: 10.71",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.3/returnn.config
conf_base_conf__drop_l2__l2-0.0002_drop-0.05,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0002_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.0002_drop-0.1,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0002_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.0002_drop-0.15,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0002_drop-0.15/returnn.config
conf_base_conf__drop_l2__l2-0.0002_drop-0.2,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0002_drop-0.2/returnn.config
conf_base_conf__drop_l2__l2-0.0002_drop-0.25,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0002_drop-0.25/returnn.config
conf_base_conf__drop_l2__l2-0.0002_drop-0.3,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0002_drop-0.3/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.02,"ep: 40, WER: 11.0",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.02/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.03,"ep: 190, WER: 9.12",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.03/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.05,"ep: 200, WER: 9.24",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.1,"ep: 200, WER: 9.75",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.15,"ep: 180, WER: 10.04",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.15/returnn.config
