                                                                                                            Experiments |  2 corpus | 3 WER | 4 Del | 5 Ins | 6 Sub | 7 Enc RTF | 8 Search RTF | 9 Total RTF |             10 Step Hyps |                 11 Step Word End Hyps |                        12 Step Trees
                                            56__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm1.0 | dev-other |   4.7 |   0.8 |   0.4 |   3.6 |   0.09168 |      1.14876 |     1.24045 | 0.00/0.00/0.00/0.00/0.00 |        22.87/6.00/57.00/257.00/510.00 |             1.00/1.00/1.00/1.00/1.00
                                            57__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm1.1 | dev-other |   4.8 |   1.0 |   0.4 |   3.5 |   0.09155 |      1.09041 |     1.18196 | 0.00/0.00/0.00/0.00/0.00 |        21.45/6.00/52.00/247.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            58__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm1.2 | dev-other |   5.0 |   1.1 |   0.3 |   3.5 |   0.07975 |       1.0006 |     1.08035 | 0.00/0.00/0.00/0.00/0.00 |        20.14/6.00/48.00/237.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            59__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm0.6 | dev-other |   4.7 |   0.4 |   0.5 |   3.8 |   0.07857 |      1.27391 |     1.35248 | 0.00/0.00/0.00/0.00/0.00 |        31.92/7.00/91.00/302.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            60__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm0.7 | dev-other |   4.7 |   0.4 |   0.5 |   3.8 |   0.08432 |      1.23574 |     1.32006 | 0.00/0.00/0.00/0.00/0.00 |        28.87/7.00/78.00/289.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            61__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm0.8 | dev-other |   4.7 |   0.5 |   0.4 |   3.8 |   0.08953 |      1.37169 |     1.46122 | 0.00/0.00/0.00/0.00/0.00 |        26.46/6.00/68.00/278.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            62__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm0.9 | dev-other |   4.7 |   0.5 |   0.4 |   3.7 |   0.08746 |      1.21279 |     1.30025 | 0.00/0.00/0.00/0.00/0.00 |        24.41/6.00/61.00/267.00/512.00 |             1.00/1.00/1.00/1.00/1.00
                                            63__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm1.0 | dev-other |   4.7 |   0.6 |   0.4 |   3.6 |   0.08581 |      1.11269 |      1.1985 | 0.00/0.00/0.00/0.00/0.00 |        22.67/6.00/56.00/257.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            64__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm1.1 | dev-other |   4.7 |   0.7 |   0.4 |   3.6 |   0.08808 |      1.13403 |     1.22211 | 0.00/0.00/0.00/0.00/0.00 |        21.18/6.00/51.00/247.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            65__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.2_elm1.2 | dev-other |   4.8 |   0.9 |   0.4 |   3.6 |   0.07949 |      1.00489 |     1.08438 | 0.00/0.00/0.00/0.00/0.00 |        19.93/6.00/47.00/238.00/508.00 |             1.00/1.00/1.00/1.00/1.00
                                            66__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.3_elm0.6 | dev-other |   4.7 |   0.4 |   0.5 |   3.9 |   0.08364 |      1.31254 |     1.39619 | 0.00/0.00/0.00/0.00/0.00 |        32.50/8.00/93.00/305.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            67__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.3_elm0.7 | dev-other |   4.7 |   0.4 |   0.5 |   3.8 |   0.07789 |      1.20544 |     1.28333 | 0.00/0.00/0.00/0.00/0.00 |        29.09/7.00/78.00/293.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            68__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.3_elm0.8 | dev-other |   4.7 |   0.4 |   0.5 |   3.8 |   0.08604 |      1.26102 |     1.34706 | 0.00/0.00/0.00/0.00/0.00 |        26.51/6.00/68.00/280.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            69__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.3_elm0.9 | dev-other |   4.6 |   0.5 |   0.4 |   3.7 |   0.08154 |      1.28677 |     1.36831 | 0.00/0.00/0.00/0.00/0.00 |        24.48/6.00/61.00/271.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            70__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.3_elm1.0 | dev-other |   4.6 |   0.5 |   0.4 |   3.7 |   0.07879 |      1.08784 |     1.16662 | 0.00/0.00/0.00/0.00/0.00 |        22.65/6.00/55.00/259.00/511.00 |             1.00/1.00/1.00/1.00/1.00
