Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.4_st18.0|14.0_mb1024|256,dev-other,5.2,5.18,4.2,0.6,0.4,0.2424679747224296,0.7461355349691569,0.9886035096915865
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.5_st12.0|10.0_mb128|64,dev-other,5.3,5.26,4.3,0.6,0.4,0.24986977688998338,0.354633858832521,0.6045036357225044
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.5_st18.0|14.0_mb1024|256,dev-other,5.2,5.21,4.2,0.6,0.4,0.2391334898977883,0.7736793886541117,1.0128128785519
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.2_st12.0|10.0_mb128|64,dev-other,5.2,5.22,4.1,0.4,0.6,0.244856773877148,0.3564622245437749,0.6013189984209228
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.2_st18.0|14.0_mb1024|256,dev-other,5.2,5.15,4.1,0.4,0.6,0.2585539500844228,0.8328877130740403,1.0914416631584631
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.3_st12.0|10.0_mb128|64,dev-other,5.3,5.23,4.2,0.5,0.6,0.24499406130867388,0.36500787897361314,0.6100019402822869
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.3_st18.0|14.0_mb1024|256,dev-other,5.2,5.16,4.1,0.5,0.6,0.26081066151424886,0.8559246624206936,1.1167353239349425
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.4_st12.0|10.0_mb128|64,dev-other,5.3,5.24,4.2,0.5,0.5,0.232851669943294,0.2644185588843576,0.4972702288276516
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.4_st18.0|14.0_mb1024|256,dev-other,5.2,5.17,4.2,0.5,0.5,0.23971541434454147,0.7186230610430253,0.9583384753875668
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.5_st12.0|10.0_mb128|64,dev-other,5.3,5.26,4.3,0.6,0.4,0.2397036732058244,0.37065320336800045,0.6103568765738249
