Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024,dev-clean,2.3,1.9,0.3,0.2,0.21154697446149565,0.0016008156622432756,0.21314779012373894
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024,dev-other,5.6,4.5,0.6,0.5,0.22941197927930435,0.0031580694273000247,0.2325700487066044
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024,test-clean,2.6,2.1,0.4,0.2,0.21571704895450897,0.001753419913255595,0.21747046886776458
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024,test-other,5.7,4.5,0.7,0.5,0.215662232333206,0.0030651014850969546,0.21872733381830295
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024_west_off_mweb_off,dev-clean,2.3,1.9,0.3,0.2,0.22677226015331298,0.0025494485160141383,0.22932170866932713
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024_west_off_mweb_off,dev-other,5.6,4.5,0.6,0.5,0.19633129125842716,0.0045345398956777635,0.20086583115410492
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024_west_off_mweb_off,test-clean,2.6,2.1,0.4,0.2,0.2244255736798021,0.0025349960335059912,0.22696056971330808
qat_ctc_bpe__recog_tree_4gram_st14.0_mb1024_west_off_mweb_off,test-other,5.7,4.5,0.7,0.5,0.19535071564129558,0.00482642998168983,0.20017714562298541
qat_ctc_bpe__recog_tree_4gram_st14.0_mb2048,dev-clean,2.3,1.9,0.3,0.2,0.21737787728636845,0.0019242366008197598,0.2193021138871882
qat_ctc_bpe__recog_tree_4gram_st14.0_mb2048,dev-other,5.6,4.5,0.6,0.5,0.2170990530050091,0.0032656456521184536,0.22036469865712754
qat_ctc_bpe__recog_tree_4gram_st14.0_mb2048,test-clean,2.6,2.1,0.4,0.2,0.2149353725710856,0.0018118477299482075,0.21674722030103383
