Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm0.6,dev-other,5.2,5.16,4.0,0.4,0.8,0.23179509999604492,2.5467536310903673,2.7785487310864125
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm0.7,dev-other,5.6,5.55,3.9,0.4,1.3,0.215165431580766,2.2422046273890275,2.4573700589697935
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm0.8,dev-other,6.3,6.28,3.7,0.3,2.2,0.22788717599169603,2.227405340827469,2.455292516819165
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm0.9,dev-other,7.7,7.68,3.6,0.3,3.8,0.22760803587456527,2.1485691350313605,2.3761771709059256
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm1.0,dev-other,9.9,9.83,3.5,0.3,6.1,0.22123989857275525,1.9536826179649809,2.174922516537736
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm1.1,dev-other,12.4,12.40,3.5,0.3,8.7,0.2324398558496781,2.0559347847705713,2.2883746406202494
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.2_elm1.2,dev-other,15.5,15.49,3.5,0.2,11.8,0.21450334934198143,1.7382336905832474,1.9527370399252288
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm0.6,dev-other,5.1,5.07,4.1,0.5,0.6,0.22485040902242898,2.5480810784934445,2.7729314875158737
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm0.7,dev-other,5.1,5.06,3.9,0.4,0.7,0.26443795295950784,2.8017772441034943,3.066215197063002
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm0.8,dev-other,5.3,5.31,3.8,0.4,1.1,0.23959824117532388,2.4677486026429567,2.707346843818281
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm0.9,dev-other,5.9,5.89,3.7,0.4,1.8,0.185042191115084,1.7940121028728875,1.9790542939879716
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm1.0,dev-other,7.0,7.00,3.6,0.3,3.1,0.2217251031778661,2.0518632820944074,2.273588385272274
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm1.1,dev-other,8.7,8.72,3.6,0.3,4.9,0.2378046661728099,2.3421948336189535,2.5799994997917635
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.3_elm1.2,dev-other,11.4,11.36,3.5,0.3,7.6,0.20354264511850081,1.7026156189238069,1.9061582640423076
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm0.6,dev-other,5.2,5.13,4.2,0.5,0.5,0.2304581729066843,2.809595117024605,3.0400532899312895
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm0.7,dev-other,5.0,5.01,4.1,0.5,0.5,0.22770219727937888,2.579739542150826,2.807441739430205
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm0.8,dev-other,5.1,5.04,3.9,0.4,0.7,0.22398264844650417,2.354707283246582,2.5786899316930865
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm0.9,dev-other,5.2,5.22,3.8,0.4,1.0,0.20144433360053485,1.9946352323881773,2.196079565988712
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm1.0,dev-other,5.7,5.67,3.7,0.3,1.6,0.232151935905865,2.269826442198272,2.5019783781041367
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm1.1,dev-other,6.8,6.78,3.6,0.3,2.9,0.24185722692496756,2.3539702559740654,2.595827482899033
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.4_elm1.2,dev-other,8.0,7.97,3.6,0.3,4.1,0.23088363793683894,2.1252510787232746,2.3561347166601134
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm0.6,dev-other,5.3,5.31,4.4,0.5,0.5,0.25910552466580444,3.2397909142631933,3.498896438928998
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm0.7,dev-other,5.2,5.17,4.2,0.5,0.5,0.21537408798987026,2.624276039045908,2.839650127035778
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm0.8,dev-other,5.1,5.04,4.1,0.4,0.5,0.2442042335568766,2.7260608426017043,2.9702650761585807
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm0.9,dev-other,5.1,5.04,4.0,0.4,0.7,0.22468610779850826,2.3575904302914292,2.5822765380899373
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm1.0,dev-other,5.2,5.19,3.9,0.4,1.0,0.22420650716866475,2.243663189749234,2.467869696917899
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm1.1,dev-other,5.6,5.55,3.8,0.3,1.5,0.25001652139934644,2.376182100559146,2.6261986219584923
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.5_elm1.2,dev-other,6.6,6.62,3.7,0.3,2.6,0.21877861609914168,1.982211769799069,2.2009903858982107
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_mbs1024,dev-other,6.1,6.10,5.0,0.7,0.5,0.21373157349857835,2.1009151128722743,2.314646686370853
