                                                   Experiments |   2 corpus | 3 WER | 4 Del | 5 Ins | 6 Sub | 7 Enc RTF | 8 Search RTF | 9 Total RTF | 10 Step Hyps | 11 Step Word End Hyps | 12 Step Trees
 91__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.4 | test-clean |   2.8 |   0.3 |   0.3 |   2.1 |   0.21449 |      0.00921 |     0.22371 |      Not set |               Not set |       Not set
 92__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.4 | test-other |   5.7 |   0.7 |   0.6 |   4.4 |   0.22945 |       0.0184 |     0.24785 |      Not set |               Not set |       Not set
 93__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.5 |  dev-clean |   2.4 |   0.2 |   0.3 |   1.9 |   0.21645 |      0.01037 |     0.22682 |      Not set |               Not set |       Not set
 94__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.5 |  dev-other |   5.5 |   0.5 |   0.6 |   4.4 |   0.21212 |      0.01831 |     0.23043 |      Not set |               Not set |       Not set
 95__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.5 | test-clean |   2.7 |   0.2 |   0.4 |   2.1 |   0.21492 |      0.01079 |     0.22571 |      Not set |               Not set |       Not set
 96__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.5 | test-other |   5.7 |   0.6 |   0.6 |   4.5 |   0.24816 |      0.02349 |     0.27165 |      Not set |               Not set |       Not set
 97__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.2 |  dev-clean |   2.6 |   0.5 |   0.2 |   1.9 |   0.22345 |      0.00729 |     0.23073 |      Not set |               Not set |       Not set
 98__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.2 |  dev-other |   5.8 |   1.0 |   0.5 |   4.3 |   0.23505 |      0.01499 |     0.25003 |      Not set |               Not set |       Not set
 99__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.2 | test-clean |   3.0 |   0.5 |   0.3 |   2.2 |   0.20643 |       0.0071 |     0.21353 |      Not set |               Not set |       Not set
100__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.2 | test-other |   6.1 |   1.3 |   0.5 |   4.4 |   0.22655 |      0.01564 |     0.24219 |      Not set |               Not set |       Not set
101__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.3 |  dev-clean |   2.5 |   0.4 |   0.2 |   1.9 |   0.23488 |      0.00887 |     0.24375 |      Not set |               Not set |       Not set
102__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.3 |  dev-other |   5.7 |   0.8 |   0.5 |   4.4 |   0.21959 |      0.01472 |     0.23431 |      Not set |               Not set |       Not set
103__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.3 | test-clean |   2.9 |   0.4 |   0.3 |   2.2 |   0.23339 |      0.00917 |     0.24256 |      Not set |               Not set |       Not set
104__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.3 | test-other |   6.0 |   1.0 |   0.5 |   4.4 |   0.22497 |       0.0171 |     0.24207 |      Not set |               Not set |       Not set
105__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.4 |  dev-clean |   2.5 |   0.3 |   0.3 |   1.9 |   0.22234 |      0.00966 |       0.232 |      Not set |               Not set |       Not set
106__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.4 |  dev-other |   5.7 |   0.7 |   0.6 |   4.4 |   0.23004 |      0.01794 |     0.24798 |      Not set |               Not set |       Not set
107__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.4 | test-clean |   2.8 |   0.3 |   0.3 |   2.2 |   0.23973 |      0.01094 |     0.25066 |      Not set |               Not set |       Not set
108__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.4 | test-other |   5.9 |   0.8 |   0.6 |   4.5 |   0.22665 |      0.01805 |     0.24469 |      Not set |               Not set |       Not set
109__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.5 |  dev-clean |   2.5 |   0.3 |   0.3 |   2.0 |   0.21756 |      0.01029 |     0.22785 |      Not set |               Not set |       Not set
110__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.5 |  dev-other |   5.7 |   0.6 |   0.6 |   4.4 |    0.2285 |      0.02073 |     0.24923 |      Not set |               Not set |       Not set
111__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.5 | test-clean |   2.8 |   0.3 |   0.3 |   2.2 |   0.21077 |       0.0104 |     0.22116 |      Not set |               Not set |       Not set
112__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.2_p0.5 | test-other |   5.9 |   0.7 |   0.6 |   4.5 |   0.21763 |      0.01909 |     0.23672 |      Not set |               Not set |       Not set
    113__hilmes_memristor_v10_0607_v2__recog_tree_memristor_eq |  dev-clean |   2.7 |   0.1 |   0.5 |   2.1 |   0.21709 |      0.00375 |     0.22084 |      Not set |               Not set |       Not set
    114__hilmes_memristor_v10_0607_v2__recog_tree_memristor_eq |  dev-other |   6.8 |   0.4 |   1.0 |   5.4 |   0.22905 |      0.00645 |      0.2355 |      Not set |               Not set |       Not set
    115__hilmes_memristor_v10_0607_v2__recog_tree_memristor_eq | test-clean |   3.0 |   0.1 |   0.6 |   2.3 |   0.21454 |      0.00376 |      0.2183 |      Not set |               Not set |       Not set
    116__hilmes_memristor_v10_0607_v2__recog_tree_memristor_eq | test-other |   6.8 |   0.4 |   1.1 |   5.3 |   0.22549 |      0.00648 |     0.23197 |      Not set |               Not set |       Not set
